,pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,description
532,450,Hippowdon,Hippoterus,カバルドン (Kabaldon),4,0,0,0,Heavyweight Pokémon,1,Ground,,2.0,300.0,2,Sand Stream,,Sand Force,525,108,112,118,68,72,47,60,70,184,Slow,1,Field,,50.0,30,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"It is surprisingly quick to anger. It holds its mouth agape as a display of its strength."
533,451,Skorupi,Pionskora,スコルピ (Scorupi),4,0,0,0,Scorpion Pokémon,2,Poison,Bug,0.8,12.0,3,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120,70,66,Slow,2,Bug,Water 3,50.0,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"As soon as the tail claws close, its needle tips secrete poison. It can survive a year without food."
534,452,Drapion,Piondragi,ドラピオン (Dorapion),4,0,0,0,Ogre Scorp Pokémon,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45,70,175,Slow,2,Bug,Water 3,50.0,20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,"Possessing a sturdy build, it takes pride in its strength, taking down foes without using toxins."
535,453,Croagunk,Glibunkel,グレッグル (Gureggru),4,0,0,0,Toxic Mouth Pokémon,2,Poison,Fighting,0.7,23.0,3,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140,100,60,Medium Fast,1,Human-Like,,50.0,10,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,"It rarely fights fairly, but that is strictly to ensure survival. It is popular as a mascot."
536,454,Toxicroak,Toxiquak,ドクロッグ (Dokurog),4,0,0,0,Toxic Mouth Pokémon,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75,70,172,Medium Fast,1,Human-Like,,50.0,20,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
537,455,Carnivine,Venuflibis,マスキッパ (Muskippa),4,0,0,0,Bug Catcher Pokémon,1,Grass,,1.4,27.0,1,Levitate,,,454,74,100,72,90,72,46,200,70,159,Slow,1,Grass,,50.0,25,1,2,0.5,0.5,0.5,2,1,2,0,2,1,2,1,1,1,1,1,1,"It binds itself to trees in marshes. It attracts prey with its sweet- smelling drool and gulps them down."
538,456,Finneon,Finneon,ケイコウオ (Keikouo),4,0,0,0,Wing Fish Pokémon,1,Water,,0.4,7.0,3,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190,70,66,Erratic,1,Water 2,,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"The line running down its side can store sunlight. It shines vividly at night."
539,457,Lumineon,Lumineon,ネオラント (Neolant),4,0,0,0,Neon Pokémon,1,Water,,1.2,24.0,3,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75,70,161,Erratic,1,Water 2,,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It crawls along the seafloor using its long front fins like legs. It competes for food with Lanturn."
540,458,Mantyke,Mantirps,タマンタ (Tamanta),4,0,0,0,Kite Pokémon,2,Water,Flying,1.0,65.0,3,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25,70,69,Slow,1,Undiscovered,,50.0,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,"People organize tours to see this Pokémon frolic and skim the tops of waves with Remoraid."
541,459,Snover,Shnebedeck,ユキカブリ (Yukikaburi),4,0,0,0,Frost Tree Pokémon,2,Grass,Ice,1.0,50.5,2,Snow Warning,,Soundproof,334,60,62,50,62,60,40,120,70,67,Slow,2,Grass,Monster,50.0,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,"Seemingly curious about people, they gather around footsteps they find on snowy mountains."
542,460,Abomasnow,Rexblisar,ユキノオー (Yukinooh),4,0,0,0,Frost Tree Pokémon,2,Grass,Ice,2.2,135.5,2,Snow Warning,,Soundproof,494,90,92,75,92,85,60,60,70,173,Slow,2,Grass,Monster,50.0,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
544,461,Weavile,Snibunna,マニューラ (Manyula),4,0,0,0,Sharp Claw Pokémon,2,Dark,Ice,1.1,34.0,2,Pressure,,Pickpocket,510,70,120,65,45,85,125,45,35,179,Medium Slow,1,Field,,50.0,20,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,"Evolution made it even more devious. It communicates by clawing signs in boulders."
545,462,Magnezone,Magnezone,ジバコイル (Jibacoil),4,0,0,0,Magnet Area Pokémon,2,Electric,Steel,1.2,180.0,3,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30,70,241,Medium Fast,1,Mineral,,,20,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,"A group tried to use scientific means to make Magnezone evolve, but their efforts ended in failure."
546,463,Lickilicky,Schlurplek,ベロベルト (Berobelt),4,0,0,0,Licking Pokémon,1,Normal,,1.7,140.0,3,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30,70,180,Medium Fast,1,Monster,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"The long tongue is always soggy with slobber. The saliva contains a solvent that causes numbness."
547,464,Rhyperior,Rihornior,ドサイドン (Dosidon),4,0,0,0,Drill Pokémon,2,Ground,Rock,2.4,282.8,3,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40,30,70,241,Slow,2,Field,Monster,50.0,20,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,"It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly."
548,465,Tangrowth,Tangoloss,モジャンボ (Mojumbo),4,0,0,0,Vine Pokémon,1,Grass,,2.0,128.6,3,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50,30,70,187,Medium Fast,1,Grass,,50.0,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"Its arms are made of plants that bind themselves to things. They grow back right away if cut."
549,466,Electivire,Elevoltek,エレキブル (Elekible),4,0,0,0,Thunderbolt Pokémon,1,Electric,,1.8,138.6,2,Motor Drive,,Vital Spirit,540,75,123,67,95,85,95,30,70,243,Medium Fast,1,Human-Like,,75.0,25,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"Heedless of enemy attacks, it closes in, shoves its tails onto the foe, then looses high voltage."
550,467,Magmortar,Magbrant,ブーバーン (Booburn),4,0,0,0,Blast Pokémon,1,Fire,,1.6,68.0,2,Flame Body,,Vital Spirit,540,75,95,67,125,95,83,30,70,243,Medium Fast,1,Human-Like,,75.0,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"When launching 3,600 degrees F fireballs, its body takes on a whitish hue from the intense heat."
551,468,Togekiss,Togekiss,トゲキッス (Togekiss),4,0,0,0,Jubilee Pokémon,2,Fairy,Flying,1.5,38.0,3,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80,30,70,245,Fast,2,Fairy,Flying,87.5,10,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,"It shares many blessings with people who respect one another’s rights and avoid needless strife."
552,469,Yanmega,Yanmega,メガヤンマ (Megayanma),4,0,0,0,Ogre Darner Pokémon,2,Bug,Flying,1.9,51.5,3,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95,30,70,180,Medium Fast,1,Bug,,50.0,20,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"Its jaw power is incredible. It is adept at biting apart foes while flying by at high speed."
553,470,Leafeon,Folipurba,リーフィア (Leafia),4,0,0,0,Verdant Pokémon,1,Grass,,1.0,25.5,2,Leaf Guard,,Chlorophyll,525,65,110,130,60,65,95,45,35,184,Medium Fast,1,Field,,87.5,35,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"It basically does not fight. With cells similar to those of plants, it can perform photosynthesis."
554,471,Glaceon,Glaziola,グレイシア (Glacia),4,0,0,0,Fresh Snow Pokémon,1,Ice,,0.8,25.9,2,Snow Cloak,,Ice Body,525,65,60,110,130,95,65,45,35,184,Medium Fast,1,Field,,87.5,35,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
555,472,Gliscor,Skorgro,グライオン (Glion),4,0,0,0,Fang Scorp Pokémon,2,Ground,Flying,2.0,42.5,3,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95,30,70,179,Medium Slow,1,Bug,,50.0,20,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,"If it succeeds in catching even a faint breeze properly, it can circle the globe without flapping once."
556,473,Mamoswine,Mamutel,マンムー (Mammoo),4,0,0,0,Twin Tusk Pokémon,2,Ice,Ground,2.5,291.0,3,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80,50,70,239,Slow,1,Field,,50.0,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,"A frozen one was dug up from soil dating back 10,000 years. It woke up to much amazement."
557,474,Porygon-Z,Porygon-Z,ポリゴンＺ (Porygon-Z),4,0,0,0,Virtual Pokémon,1,Normal,,0.9,34.0,3,Adaptability,Download,Analytic,535,85,80,70,135,75,90,30,70,241,Medium Fast,1,Mineral,,,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"Its programming was modified to enable work in alien dimensions. It did not work as planned."
558,475,Gallade,Galagladi,エルレイド (Erureido),4,0,0,0,Blade Pokémon,2,Psychic,Fighting,1.6,52.0,2,Steadfast,,Justified,518,68,125,65,65,115,80,45,35,233,Slow,2,Amorphous,Human-Like,100.0,20,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
560,476,Probopass,Voluminas,ダイノーズ (Dainose),4,0,0,0,Compass Pokémon,2,Rock,Steel,1.4,340.0,3,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40,60,70,184,Medium Fast,1,Mineral,,50.0,20,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,"It freely controls three small units called Mini-Noses using magnetic force."
561,477,Dusknoir,Zwirrfinst,ヨノワール (Yonoir),4,0,0,0,Gripper Pokémon,1,Ghost,,2.2,106.6,2,Pressure,,Frisk,525,45,100,135,65,135,45,45,35,236,Fast,1,Amorphous,,50.0,25,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,"It is said to take lost spirits into its pliant body and guide them home."
562,478,Froslass,Frosdedje,ユキメノコ (Yukimenoko),4,0,0,0,Snow Land Pokémon,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,,Cursed Body,480,70,80,70,80,70,110,75,70,168,Medium Fast,2,Fairy,Mineral,0.0,20,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1,"It freezes prey by blowing its -58 degrees F breath. It is said to then secretly display its prey."
563,479,Rotom,Rotom,ロトム (Rotom),4,0,0,0,Plasma Pokémon,2,Electric,Ghost,0.3,0.3,1,Levitate,,,440,50,50,77,95,77,91,45,70,154,Medium Fast,1,Amorphous,,,20,0,1,1,0.5,1,1,0,0.5,0,0.5,1,0.5,1,2,1,2,0.5,1,"Its electric-like body can enter some kinds of machines and take control in order to make mischief."
569,480,Uxie,Selfe,ユクシー (Yuxie),4,1,0,0,Knowledge Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,75,75,130,75,130,95,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,"When Uxie flew, people gained the ability to solve problems. It was the birth of knowledge."
570,481,Mesprit,Vesprit,エムリット (Emrit),4,1,0,0,Emotion Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,80,105,105,105,105,80,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,"When Mesprit flew, people learned the joy and sadness of living. It was the birth of emotions."
571,482,Azelf,Tobutz,アグノム (Agnome),4,1,0,0,Willpower Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,75,125,70,125,70,115,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,"When Azelf flew, people gained the determination to do things. It was the birth of willpower."
572,483,Dialga,Dialga,ディアルガ (Dialga),4,0,1,0,Temporal Pokémon,2,Steel,Dragon,5.4,683.0,2,Pressure,,Telepathy,680,100,120,120,150,100,90,3,0,306,Slow,1,Undiscovered,,,120,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1,"A legendary Pokémon of Sinnoh. It is said that time flows when Dialga’s heart beats."
573,484,Palkia,Palkia,パルキア (Palkia),4,0,1,0,Spatial Pokémon,2,Water,Dragon,4.2,336.0,2,Pressure,,Telepathy,680,90,120,100,150,120,100,3,0,306,Slow,1,Undiscovered,,,120,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,"A legendary Pokémon of Sinnoh. It is said that space becomes more stable with Palkia’s every breath."
574,485,Heatran,Heatran,ヒードラン (Heatran),4,1,0,0,Lava Dome Pokémon,2,Fire,Steel,1.7,430.0,2,Flash Fire,,Flame Body,600,91,90,106,130,106,77,3,100,270,Slow,1,Undiscovered,,50.0,10,0.5,0,2,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,1,0.5,1,0.25,0.25,"Its body is made of rugged steel. However, it is partially melted in spots because of its own heat."
575,486,Regigigas,Regigigas,レジギガス (Regigigas),4,1,0,0,Colossal Pokémon,1,Normal,,3.7,420.0,1,Slow Start,,,670,110,160,110,80,110,100,3,0,302,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
576,487,Giratina Altered Forme,Giratina,ギラティナ (Giratina),4,0,1,0,Renegade Pokémon,2,Ghost,Dragon,4.5,750.0,2,Pressure,,Telepathy,680,150,100,120,100,120,90,3,0,306,Slow,1,Undiscovered,,,120,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2,"It was banished for its violence. It silently gazed upon the old world from the Distortion World."
578,488,Cresselia,Cresselia,クレセリア (Cresselia),4,1,0,0,Lunar Pokémon,1,Psychic,,1.5,85.6,1,Levitate,,,600,120,70,120,75,130,85,3,100,270,Slow,1,Undiscovered,,0.0,120,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
579,489,Phione,Phione,フィオネ (Phione),4,0,0,1,Sea Drifter Pokémon,1,Water,,0.4,3.1,1,Hydration,,,480,80,80,80,80,80,80,30,70,216,Slow,2,Fairy,Water 1,,40,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
580,490,Manaphy,Manaphy,マナフィ (Manaphy),4,0,0,1,Seafaring Pokémon,1,Water,,0.3,1.4,1,Hydration,,,600,100,100,100,100,100,100,3,70,270,Slow,2,Fairy,Water 1,,10,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It is born with a wondrous power that lets it bond with any kind of Pokémon."
581,491,Darkrai,Darkrai,ダークライ (Darkrai),4,0,0,1,Pitch-Black Pokémon,1,Dark,,1.5,50.5,1,Bad Dreams,,,600,70,90,90,135,90,125,3,0,270,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"To protect itself, it afflicts those around it with nightmares. However, it means no harm."
582,492,Shaymin Land Forme,Shaymin,シェイミ (Shaymin),4,0,0,1,Gratitude Pokémon,1,Grass,,0.2,2.1,1,Natural Cure,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude."
584,493,Arceus,Arceus,アルセウス (Arceus),4,0,0,1,Alpha Pokémon,1,Normal,,3.2,320.0,1,Multitype,,,720,120,120,120,120,120,120,3,0,324,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It is said to have emerged from an egg in a place where there was nothing, then shaped the world."
585,494,Victini,Victini,ビクティニ (Victini),5,0,0,1,Victory Pokémon,2,Psychic,Fire,0.4,4.0,1,Victory Star,,,600,100,100,100,100,100,100,3,100,270,Slow,1,Undiscovered,,,120,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5,"It creates an unlimited supply of energy inside its body, which it shares with those who touch it."
586,495,Snivy,Serpifeu,ツタージャ (Tsutarja),5,0,0,0,Grass Snake Pokémon,1,Grass,,0.6,8.1,2,Overgrow,,Contrary,308,45,45,55,45,55,63,45,70,62,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop."
587,496,Servine,Efoserp,ジャノビー (Janovy),5,0,0,0,Grass Snake Pokémon,1,Grass,,0.8,16.0,2,Overgrow,,Contrary,413,60,60,75,60,75,83,45,70,145,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques."
588,497,Serperior,Serpiroyal,ジャローダ (Jalorda),5,0,0,0,Regal Pokémon,1,Grass,,3.3,63.0,2,Overgrow,,Contrary,528,75,75,95,75,95,113,45,70,238,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent."
589,498,Tepig,Floink,ポカブ (Pokabu),5,0,0,0,Fire Pig Pokémon,1,Fire,,0.5,9.9,2,Blaze,,Thick Fat,308,65,63,45,45,45,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"It blows fire through its nose. When it catches a cold, the fire becomes pitch-black smoke instead."
590,499,Pignite,Ferkokel,チャオブー (Chaoboo),5,0,0,0,Fire Pig Pokémon,2,Fire,Fighting,1.0,55.5,2,Blaze,,Thick Fat,418,90,93,55,70,55,55,45,70,146,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,"Whatever it eats becomes fuel for the flame in its stomach. When it is angered, the intensity of the flame increases."
591,500,Emboar,Flambirex,エンブオー (Enbuoh),5,0,0,0,Mega Fire Pig Pokémon,2,Fire,Fighting,1.6,150.0,2,Blaze,,Reckless,528,110,123,65,100,65,65,45,70,238,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,"It has mastered fast and powerful fighting moves. It grows a beard of fire."
592,501,Oshawott,Ottaro,ミジュマル (Mijumaru),5,0,0,0,Sea Otter Pokémon,1,Water,,0.5,5.9,2,Torrent,,Shell Armor,308,55,55,45,63,45,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"The scalchop on its stomach is made from the same elements as claws. It detaches the scalchop for use as a blade."
593,502,Dewott,Zwottronin,フタチマル (Futachimaru),5,0,0,0,Discipline Pokémon,1,Water,,0.8,24.5,2,Torrent,,Shell Armor,413,75,75,60,83,60,60,45,70,145,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"Scalchop techniques differ from one Dewott to another. It never neglects maintaining its scalchops."
594,503,Samurott,Admurai,ダイケンキ (Daikenki),5,0,0,0,Formidable Pokémon,1,Water,,1.5,94.6,2,Torrent,,Shell Armor,528,95,100,85,108,70,70,45,70,238,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"Part of the armor on its anterior legs becomes a giant sword. Its cry alone is enough to intimidate most enemies."
595,504,Patrat,Nagelotz,ミネズミ (Minezumi),5,0,0,0,Scout Pokémon,1,Normal,,0.5,11.6,3,Run Away,Keen Eye,Analytic,255,45,55,39,35,39,42,255,70,51,Medium Fast,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"Extremely cautious, they take shifts to maintain a constant watch of their nest. They feel insecure without a lookout."
596,505,Watchog,Kukmarda,ミルホッグ (Miruhog),5,0,0,0,Lookout Pokémon,1,Normal,,1.1,27.0,3,Illuminate,Keen Eye,Analytic,420,60,85,69,60,69,77,255,70,147,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"They make the patterns on their bodies shine in order to threaten predators. Keen eyesight lets them see in the dark."
597,506,Lillipup,Yorkleff,ヨーテリー (Yorterrie),5,0,0,0,Puppy Pokémon,1,Normal,,0.4,4.1,3,Vital Spirit,Pickup,Run Away,275,45,60,45,25,45,55,255,70,55,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"The long hair around its face provides an amazing radar that lets it sense subtle changes in its surroundings."
598,507,Herdier,Terribark,ハーデリア (Herderrie),5,0,0,0,Loyal Dog Pokémon,1,Normal,,0.9,14.7,3,Intimidate,Sand Rush,Scrappy,370,65,80,65,35,65,60,120,70,130,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It loyally follows its Trainer’s orders. For ages, they have helped Trainers raise Pokémon."
599,508,Stoutland,Bissbark,ムーランド (Mooland),5,0,0,0,Big-Hearted Pokémon,1,Normal,,1.2,61.0,3,Intimidate,Sand Rush,Scrappy,500,85,110,90,45,90,80,45,70,225,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"This extremely wise Pokémon excels at rescuing people stranded at sea or in the mountains."
600,509,Purrloin,Felilou,チョロネコ (Choroneko),5,0,0,0,Devious Pokémon,1,Dark,,0.4,10.1,3,Limber,Unburden,Prankster,281,41,50,37,50,37,66,255,70,56,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"Its cute act is a ruse. When victims let down their guard, they find their items taken. It attacks with sharp claws."
601,510,Liepard,Kleoparda,レパルダス (Lepardas),5,0,0,0,Cruel Pokémon,1,Dark,,1.1,37.5,3,Limber,Unburden,Prankster,446,64,88,50,88,50,106,90,70,156,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react."
602,511,Pansage,Vegimak,ヤナップ (Yanappu),5,0,0,0,Grass Monkey Pokémon,1,Grass,,0.6,10.5,2,Gluttony,,Overgrow,316,50,53,48,53,48,64,190,70,63,Medium Fast,1,Field,,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress."
603,512,Simisage,Vegichita,ヤナッキー (Yanakkie),5,0,0,0,Thorn Monkey Pokémon,1,Grass,,1.1,30.5,2,Gluttony,,Overgrow,498,75,98,63,98,63,101,75,70,174,Medium Fast,1,Field,,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered."
604,513,Pansear,Grillmak,バオップ (Baoppu),5,0,0,0,High Temp Pokémon,1,Fire,,0.6,11.0,2,Gluttony,,Blaze,316,50,53,48,53,48,64,190,70,63,Medium Fast,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600° F."
605,514,Simisear,Grillchita,バオッキー (Baokkie),5,0,0,0,Ember Pokémon,1,Fire,,1.0,28.0,2,Gluttony,,Blaze,498,75,98,63,98,63,101,75,70,174,Medium Fast,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"A flame burns inside its body. It scatters embers from its head and tail to sear its opponents."
606,515,Panpour,Sodamak,ヒヤップ (Hiyappu),5,0,0,0,Spray Pokémon,1,Water,,0.6,13.5,2,Gluttony,,Torrent,316,50,53,48,53,48,64,190,70,63,Medium Fast,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It does not thrive in dry environments. It keeps itself damp by shooting water stored in its head tuft from its tail."
607,516,Simipour,Sodachita,ヒヤッキー (Hiyakkie),5,0,0,0,Geyser Pokémon,1,Water,,1.0,29.0,2,Gluttony,,Torrent,498,75,98,63,98,63,101,75,70,174,Medium Fast,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall."
608,517,Munna,Somniam,ムンナ (Munna),5,0,0,0,Dream Eater Pokémon,1,Psychic,,0.6,23.3,3,Forewarn,Synchronize,Telepathy,292,76,25,45,67,55,24,190,70,58,Fast,1,Field,,50.0,10,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"It eats the dreams of people and Pokémon. When it eats a pleasant dream, it expels pink-colored mist."
609,518,Musharna,Somnivora,ムシャーナ (Musharna),5,0,0,0,Drowsing Pokémon,1,Psychic,,1.1,60.5,3,Forewarn,Synchronize,Telepathy,487,116,55,85,107,95,29,75,70,170,Fast,1,Field,,50.0,10,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"With the mist from its forehead, it can create shapes of things from dreams it has eaten."
